Date,CourseUS
2014-08-27,36.1358
2014-08-28,36.1397
2014-08-29,36.3053
2014-08-30,36.9316
2014-09-02,37.2945
2014-09-03,37.348
2014-09-04,37.3183
2014-09-05,36.8038
2014-09-06,36.9219
2014-09-09,37.0866
2014-09-10,37.0261
2014-09-11,37.1693
2014-09-12,37.3758
2014-09-13,37.6545
2014-09-16,37.9861
2014-09-17,38.7058
2014-09-18,38.3724
2014-09-19,38.4209
2014-09-20,38.4134
2014-09-23,38.5782
2014-09-24,38.6672
2014-09-25,38.383
2014-09-26,38.3007
2014-09-27,38.7243
2014-09-30,39.3866
2014-10-01,39.3836
2014-10-02,39.6604
2014-10-03,39.5474
2014-10-04,39.698
2014-10-07,39.982
2014-10-08,39.7417
2014-10-09,39.9819
2014-10-10,39.98
2014-10-11,40.2125
2014-10-14,40.3251
2014-10-15,40.5304
2014-10-16,40.9416
2014-10-17,40.7457
2014-10-18,41.045
2014-10-21,40.8815
2014-10-22,41.0501
2014-10-23,40.9671
2014-10-24,41.4958
2014-10-25,41.8101
2014-10-28,41.9497
2014-10-29,42.3934
2014-10-30,42.6525
2014-10-31,43.3943
2014-11-01,41.9627
2014-11-06,44.3993
2014-11-07,45.1854
2014-11-08,47.8774
2014-11-11,45.8926
2014-11-12,45.952
2014-11-13,46.3379
2014-11-14,46.1233
2014-11-15,47.392
2014-11-18,47.3329
2014-11-19,46.9797
2014-11-20,47.0294
2014-11-21,46.7047
2014-11-22,45.7926
2014-11-25,44.7852
2014-11-26,44.9758
2014-11-27,46.4244
2014-11-28,47.6629
2014-11-29,49.322
2014-12-02,51.8068
2014-12-03,50.7678
2014-12-04,54.3821
2014-12-05,52.6932
2014-12-06,53.1088
2014-12-09,53.3079
2014-12-10,54.2116
2014-12-11,54.2758
2014-12-12,54.7932
2014-12-13,56.8919
2014-12-16,58.3461
2014-12-17,61.1512
2014-12-18,67.7851
2014-12-19,59.6029
2014-12-20,60.6825
2014-12-23,56.494
2014-12-24,54.5687
2014-12-25,54.4913
2014-12-26,52.6159
2014-12-27,52.0343
2014-12-30,56.6801
2014-12-31,56.2584
2015-01-01,56.2376
2015-01-13,62.7363
2015-01-14,64.8425
2015-01-15,66.0983
2015-01-16,64.8337
2015-01-17,65.1738
